#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
13.0%	1300	22.599999999998353	-373607.4741931313	59967.62876455905	-313639.84542857227	300.41852456853707	233.83300386787357	1.0220953791321432	79.1	2.622035264968872	0:19
14.0%	1400	22.799999999998242	-373065.7800373216	60015.071485046064	-313050.70855227555	300.65619733272433	234.2404963499977	1.0203173083480555	79.1	2.8417179584503174	0:18
15.0%	1500	22.99999999999813	-372818.3224292714	59700.890154604625	-313117.4322746668	299.08224996007147	233.8679339559117	1.0219427208306289	79.1	3.0604469776153564	0:18
16.0%	1600	23.19999999999802	-374109.70729263173	60739.71092761238	-313369.99636501935	304.28640777567244	233.9793149062084	1.021456246411125	78.9	3.284590005874634	0:18
17.0%	1700	23.39999999999791	-373445.6493035406	60057.85467620008	-313387.7946273405	300.87052735423117	234.00442493652702	1.0213466382388714	79	3.500944137573242	0:18
18.0%	1800	23.5999999999978	-373555.3563347906	60321.48733571835	-313233.86899907223	302.1912421504008	234.00442493652702	1.0213466382388714	78.8	3.7287862300872803	0:17
19.0%	1900	23.799999999997688	-373681.85233794944	59948.06623680511	-313733.78610114433	300.32052259904543	233.50702456549368	1.0235222395843082	78.9	3.944683074951172	0:17
20.0%	2000	23.999999999997577	-373196.50672134524	60030.75235772377	-313165.75436362147	300.73475345926846	233.36065207740035	1.0241642308347316	78.6	4.17672324180603	0:17
21.0%	2100	24.199999999997466	-373411.8661996564	60430.77369999216	-312981.0924996642	302.7387316707801	233.2299679504252	1.024738093660174	78.6	4.3976991176605225	0:17
22.0%	2200	24.399999999997355	-373239.1716582414	60234.5716503092	-313004.6000079322	301.7558225330102	233.10205493770408	1.0253004110401953	78.7	4.613387107849121	0:17
23.0%	2300	24.599999999997245	-373704.90781622636	60545.66330339233	-313159.244512834	303.3142916162509	233.3237882335306	1.024326043012514	78.5	4.8427839279174805	0:16
24.0%	2400	24.799999999997134	-373583.20859747636	60333.20418619225	-313250.0044112841	302.24993980119126	233.3237882335306	1.024326043012514	78.6	5.059361934661865	0:16
25.0%	2500	24.999999999997023	-372843.80471405294	59452.87701267144	-313390.9277013815	297.839783921174	233.6512158313039	1.0228906016671442	78.5	5.281882047653198	0:16
26.0%	2600	25.199999999996912	-373968.6802937896	60307.16662164756	-313661.51367214206	302.11949998082446	234.1568412124893	1.0206818280618084	78.4	5.509411096572876	0:16
27.0%	2700	25.3999999999968	-374062.851414684	60553.11371396785	-313509.7377007161	303.35161577594573	233.82503549037696	1.0221302104828642	78.5	5.726207971572876	0:16
28.0%	2800	25.59999999999669	-374426.7247247277	60726.1929402852	-313700.5317844425	304.21868700879145	233.67933196451492	1.022767528187881	78.3	5.960888147354126	0:15
29.0%	2900	25.79999999999658	-374350.8584606014	60006.91671459982	-314343.9417460016	300.6153445567162	233.27730857625545	1.0245301362597647	78.3	6.176033973693848	0:15
30.0%	3000	25.99999999999647	-374396.3154918514	60076.07159858593	-314320.2438932655	300.9617882737987	233.27730857625545	1.0245301362597647	78.3	6.403475284576416	0:15
31.0%	3100	26.199999999996358	-374141.467433176	60257.44774400361	-313884.0196891724	301.8704244016709	232.92134420453525	1.0260958846780028	78.2	6.630985975265503	0:15
32.0%	3200	26.399999999996247	-374832.96696369513	60190.26380311232	-314642.7031605828	301.53385447531105	233.07238156090165	1.025430946135039	78.3	6.8435750007629395	0:15
33.0%	3300	26.599999999996136	-374935.10758869513	59171.47320083249	-315763.63438786264	296.4300413700298	233.07238156090165	1.025430946135039	78.2	7.0726001262664795	0:14
34.0%	3400	26.799999999996025	-375222.5041798351	59318.93831435824	-315903.56586547685	297.16879413953933	232.50019798804354	1.0279545342762801	78.2	7.294445991516113	0:14
35.0%	3500	26.999999999995914	-375111.4963673351	59493.75409387308	-315617.742273462	298.0445649451408	232.50019798804354	1.0279545342762801	78.1	7.522705078125	0:14
36.0%	3600	27.199999999995804	-374704.804563364	59495.719777785824	-315209.0847855782	298.0544123890534	232.62198608577563	1.027416353731134	77.9	7.759458065032959	0:14
37.0%	3700	27.399999999995693	-375059.02267275564	59512.43411054196	-315546.5885622137	298.1381458180583	232.8691787258673	1.0263257424173409	77.9	7.980859041213989	0:13
38.0%	3800	27.599999999995582	-375062.1846494647	59567.51343411044	-315494.67121535423	298.4140755064847	232.81143840709697	1.0265802847883465	78	8.197324991226196	0:13
39.0%	3900	27.79999999999547	-375495.204223495	60109.67000954517	-315385.5342139498	301.1301055018793	233.23239810402384	1.0247274164515778	78.1	8.411545991897583	0:13
40.0%	4000	27.99999999999536	-374287.809692245	59288.39286559448	-314999.4168266505	297.0157712697187	233.23239810402384	1.0247274164515778	78	8.645084142684937	0:13
41.0%	4100	28.19999999999525	-375024.70507053286	59432.42571045109	-315592.27936008177	297.7373294775831	232.65689024809333	1.0272622164212943	78	8.863656997680664	0:13
42.0%	4200	28.39999999999514	-375245.040804239	59196.18580573343	-316048.85499850556	296.55384356890835	232.64229941328057	1.0273266441429383	77.9	9.093500137329102	0:12
43.0%	4300	28.599999999995028	-376361.44744375115	59880.254538074805	-316481.1929056763	299.98080780790326	232.8221336320761	1.0265331264407545	77.9	9.312927007675171	0:12
44.0%	4400	28.799999999994917	-375792.70660257316	59486.11191575957	-316306.5946868136	298.00628009178484	232.022173474073	1.0300723812875103	78	9.528221130371094	0:12
45.0%	4500	28.999999999994806	-375961.5047737325	59731.571910857456	-316229.93286287505	299.23595568655327	232.84508586443587	1.0264319380186084	78	9.751370906829834	0:12
46.0%	4600	29.199999999994695	-375933.6024299825	59525.683693643194	-316407.9187363393	298.2045219661306	232.84508586443587	1.0264319380186084	78	9.967697143554688	0:11
47.0%	4700	29.399999999994584	-375660.92904223874	59274.73830684641	-316386.19073539233	296.94736632396314	232.4884292303926	1.0280065701897667	78	10.191230058670044	0:11
48.0%	4800	29.599999999994473	-376016.17513598874	59196.143111192214	-316820.0320247965	296.5536296829945	232.4884292303926	1.0280065701897667	78	10.41805911064148	0:11
49.0%	4900	29.799999999994363	-376320.86170012155	59040.675239601405	-317280.18646052014	295.77478567059416	232.992498076653	1.02578252396484	78	10.634057998657227	0:11
50.0%	5000	29.99999999999425	-375705.5661767551	58713.685144880554	-316991.88103187457	294.1366705103259	232.57112782073477	1.0276410274200607	77.9	10.866801023483276	0:11
51.0%	5100	30.19999999999414	-375701.5024751825	58699.95188096585	-317001.5505942167	294.0678712770101	232.88283381220947	1.0262655638013454	77.9	11.085015058517456	0:10
52.0%	5200	30.39999999999403	-376606.9378088042	59547.42637064075	-317059.51143816346	298.31344578183496	233.35228570622843	1.0242009501583513	78	11.305008172988892	0:10
53.0%	5300	30.59999999999392	-375817.76888799504	59039.20540520415	-316778.5634827909	295.76742227320665	233.34315853253537	1.0242410115855962	78	11.520257949829102	0:10
