#"Step","Potential Energy (kJ/mole)","Temperature (K)"
100,-160657.13286666677,99.41493338416625
200,-155414.26079635427,165.62550571325792
300,-152309.05278854177,207.81563738825676
400,-149336.25591354177,235.68562176938488
500,-147559.35552291677,257.16330099151537
600,-146423.38774947927,271.29079904423156
700,-145344.54790572927,278.1432204557835
800,-144700.73149947927,289.81374985767934
900,-143541.54497604177,284.41675566313035
1000,-143580.63872604177,296.63817326043556
